ID,Age,Weight (kg),Breed,Symptoms,Previous Health Issues,Hydration (%),Heart Rate (bpm),Respiratory Rate (bpm),Temperature (°C),Environmental Exposure,Health Risk (%),Health Risk Level,Diagnosis,Potential Causes,Recommended Diet,Consult Vet
178,12,5.0,Sphynx,"Weight Loss, Sneezing",None,73,177,27,37.9,Indoor,82,Severe,Respiratory Infection,Age-related,Balanced Diet,Yes
179,3,5.8,Bengal,None,Heart Condition,74,190,31,39.1,Both,32,Moderate,Heart Disease,"Allergies, Stress",Diabetic-friendly Diet,No
180,15,3.1,Ragdoll,"Loss of Appetite, Coughing, Weight Loss",Diabetes,57,195,31,37.9,Outdoor,17,Low,Healthy,N/A,"Wet food, Hydration",No
181,13,5.0,Persian,"Sneezing, None, Lethargy",Kidney Disease,61,197,38,37.9,Indoor,14,Low,Healthy,N/A,High-protein Diet,No
182,4,6.9,Scottish Fold,"None, Lethargy",Obesity,51,201,36,40.0,Indoor,80,High,Gastrointestinal Issue,Genetic,Diabetic-friendly Diet,Yes
183,12,2.6,Sphynx,Vomiting,Kidney Disease,74,161,36,38.2,Indoor,4,Low,Healthy,N/A,Balanced Diet,No
184,3,3.4,Sphynx,"Difficulty Breathing, Lethargy",Diabetes,55,178,26,39.5,Indoor,93,Severe,Gastrointestinal Issue,Dehydration,Diabetic-friendly Diet,Yes
185,13,4.8,Bengal,"Coughing, Loss of Appetite, Weight Loss",Diabetes,61,173,33,37.7,Outdoor,47,Moderate,Gastrointestinal Issue,"Genetic, N/A",Low-sodium Diet,No
186,1,4.1,Bengal,Loss of Appetite,None,74,153,24,39.7,Outdoor,90,Severe,Healthy,N/A,Diabetic-friendly Diet,Yes
187,8,5.2,Siamese,"Lethargy, Difficulty Breathing, Coughing",Diabetes,45,165,28,39.6,Both,51,High,Gastrointestinal Issue,"N/A, Allergies",Balanced Diet,Yes
188,6,6.1,Maine Coon,"None, Weight Loss, Sneezing",Diabetes,71,155,22,39.8,Both,53,High,Gastrointestinal Issue,Dehydration,"Wet food, Hydration",Yes
189,14,3.3,Maine Coon,"Lethargy, Coughing",Arthritis,64,216,34,37.5,Both,41,Moderate,Obesity,"N/A, Dehydration","Wet food, Hydration",No
190,14,6.7,Siamese,"None, Loss of Appetite",Obesity,69,168,33,38.2,Both,95,Severe,Healthy,N/A,High-protein Diet,Yes
191,7,6.0,Scottish Fold,Weight Loss,Heart Condition,73,161,23,38.1,Outdoor,36,Moderate,Heart Disease,"Poor Diet, N/A",Balanced Diet,No
192,5,6.4,Ragdoll,"Weight Loss, None",Heart Condition,74,178,33,37.8,Both,1,Low,Healthy,N/A,"Wet food, Hydration",No
193,3,5.0,Ragdoll,None,Diabetes,66,189,40,39.3,Indoor,16,Low,Healthy,N/A,High-protein Diet,No
194,15,4.0,British Shorthair,Lethargy,None,73,161,23,39.7,Both,86,Severe,Gastrointestinal Issue,Stress,Low-sodium Diet,Yes
195,8,6.1,British Shorthair,None,Arthritis,67,142,31,37.6,Indoor,23,Moderate,Obesity,Dehydration,High-protein Diet,No
196,14,5.3,Ragdoll,Difficulty Breathing,Obesity,50,149,25,40.0,Both,70,High,Obesity,"Poor Diet, Stress",Diabetic-friendly Diet,Yes
197,3,4.6,Sphynx,"Coughing, None, Lethargy",Heart Condition,56,161,36,38.5,Outdoor,25,Moderate,Obesity,"Dust, Age-related",High-protein Diet,No
198,5,2.7,Persian,None,Kidney Disease,54,175,27,39.3,Both,35,Moderate,Gastrointestinal Issue,Dehydration,Low-sodium Diet,No
199,1,3.1,Sphynx,Loss of Appetite,Kidney Disease,67,141,35,37.6,Both,32,Moderate,Gastrointestinal Issue,Genetic,Balanced Diet,No
200,14,4.5,Sphynx,None,None,58,160,31,38.5,Outdoor,99,Severe,Diabetes,"Genetic, Dust",High-protein Diet,Yes
201,11,5.6,British Shorthair,"Lethargy, Weight Loss, None",Obesity,70,186,21,39.0,Indoor,79,High,Diabetes,"Genetic, Dehydration",Diabetic-friendly Diet,Yes
202,12,6.4,Bengal,None,Kidney Disease,46,203,39,37.6,Outdoor,36,Moderate,Kidney Failure,Dust,Diabetic-friendly Diet,No
203,9,6.2,Scottish Fold,None,Obesity,48,191,20,39.6,Indoor,76,High,Healthy,N/A,High-protein Diet,Yes
204,1,6.9,Maine Coon,None,Heart Condition,65,172,35,37.8,Both,13,Low,Healthy,N/A,High-protein Diet,No
205,5,4.4,Sphynx,"Sneezing, Weight Loss",Heart Condition,58,194,36,38.9,Indoor,95,Severe,Kidney Failure,"Allergies, Genetic",Diabetic-friendly Diet,Yes
206,6,4.6,Siamese,"Difficulty Breathing, Lethargy, Weight Loss",Obesity,55,184,25,38.6,Both,0,Low,Healthy,N/A,Balanced Diet,No
207,12,5.9,Scottish Fold,Difficulty Breathing,Diabetes,53,198,34,39.2,Indoor,74,High,Obesity,Stress,"Wet food, Hydration",Yes
208,4,5.2,Persian,None,Arthritis,72,199,34,38.5,Outdoor,85,Severe,Obesity,"N/A, Dehydration",Diabetic-friendly Diet,Yes
209,6,6.4,Sphynx,"Loss of Appetite, Weight Loss, Difficulty Breathing",Heart Condition,62,191,34,38.1,Outdoor,76,High,Heart Disease,Allergies,Diabetic-friendly Diet,Yes
210,13,3.5,Sphynx,"Coughing, None",Heart Condition,55,168,22,38.5,Indoor,7,Low,Healthy,N/A,Renal Support Diet,No
211,7,6.9,Persian,None,Heart Condition,61,186,30,38.5,Both,32,Moderate,Respiratory Infection,"Age-related, Dust",Low-sodium Diet,No
212,4,6.7,Scottish Fold,"Loss of Appetite, None",Obesity,64,164,22,37.7,Both,78,High,Diabetes,Genetic,High-protein Diet,Yes
213,6,5.4,British Shorthair,"Vomiting, Loss of Appetite, Lethargy",None,53,210,25,38.6,Indoor,5,Low,Healthy,N/A,Renal Support Diet,No
214,15,5.9,Siamese,None,None,59,168,40,38.0,Indoor,5,Low,Healthy,N/A,Balanced Diet,No
215,8,5.9,Bengal,None,None,65,190,27,39.1,Indoor,35,Moderate,Respiratory Infection,N/A,Diabetic-friendly Diet,No
216,5,5.8,Siamese,"Difficulty Breathing, Vomiting",Arthritis,74,214,33,39.1,Both,18,Low,Healthy,N/A,High-protein Diet,No
217,13,5.5,British Shorthair,"Lethargy, Difficulty Breathing",Kidney Disease,51,188,23,38.1,Both,18,Low,Healthy,N/A,Renal Support Diet,No
218,13,5.8,Persian,None,None,46,207,21,40.0,Outdoor,81,Severe,Diabetes,"N/A, Stress",High-protein Diet,Yes
219,10,5.8,Persian,Sneezing,Diabetes,51,191,23,38.1,Outdoor,89,Severe,Healthy,N/A,Low-sodium Diet,Yes
220,7,4.1,Bengal,"Vomiting, Lethargy",Arthritis,64,187,35,40.0,Indoor,5,Low,Healthy,N/A,"Wet food, Hydration",No
221,8,5.7,Maine Coon,None,Diabetes,72,179,20,40.0,Indoor,63,High,Gastrointestinal Issue,"Age-related, Stress",Low-sodium Diet,Yes
222,6,4.8,Bengal,Coughing,Diabetes,49,220,24,38.6,Both,0,Low,Healthy,N/A,Low-sodium Diet,No
223,11,4.1,Scottish Fold,"Lethargy, None, Weight Loss",Kidney Disease,66,173,28,39.0,Both,29,Moderate,Obesity,"Allergies, Stress",Renal Support Diet,No
224,14,6.1,Maine Coon,"Loss of Appetite, Weight Loss",Obesity,47,219,24,38.4,Outdoor,74,High,Gastrointestinal Issue,"Age-related, Poor Diet",High-protein Diet,Yes
225,2,5.8,Persian,"Lethargy, None, Loss of Appetite",Diabetes,71,184,35,39.4,Outdoor,49,Moderate,Respiratory Infection,"Allergies, Genetic","Wet food, Hydration",No
226,12,3.8,Ragdoll,"Coughing, Difficulty Breathing, Lethargy",Diabetes,64,168,35,37.9,Indoor,23,Moderate,Diabetes,"N/A, Dust",Balanced Diet,No
227,8,5.0,Ragdoll,Weight Loss,Arthritis,51,152,34,38.7,Outdoor,76,High,Respiratory Infection,Age-related,Diabetic-friendly Diet,Yes
228,12,6.5,Scottish Fold,None,Heart Condition,46,145,38,38.3,Outdoor,96,Severe,Respiratory Infection,"Poor Diet, Genetic",Diabetic-friendly Diet,Yes
229,1,3.6,Siamese,Loss of Appetite,Heart Condition,54,197,38,38.8,Both,14,Low,Healthy,N/A,Renal Support Diet,No
230,3,3.6,Sphynx,Sneezing,Diabetes,63,197,27,38.9,Both,30,Moderate,Healthy,N/A,Renal Support Diet,No
231,12,3.1,British Shorthair,"Difficulty Breathing, Lethargy, Vomiting",Heart Condition,67,156,24,37.8,Both,62,High,Heart Disease,Genetic,Balanced Diet,Yes
232,1,6.0,Siamese,None,Diabetes,56,220,20,38.3,Indoor,5,Low,Healthy,N/A,Renal Support Diet,No
233,4,5.4,Persian,"Sneezing, None, Lethargy",Arthritis,63,197,34,39.5,Both,35,Moderate,Obesity,"N/A, Genetic","Wet food, Hydration",No
234,8,4.1,Sphynx,"Weight Loss, Sneezing, None",None,61,155,22,39.2,Both,8,Low,Healthy,N/A,"Wet food, Hydration",No
235,9,6.1,Ragdoll,None,Heart Condition,61,187,23,38.8,Both,46,Moderate,Healthy,N/A,"Wet food, Hydration",No
236,15,5.6,Bengal,"Coughing, Lethargy, Difficulty Breathing",Kidney Disease,48,202,31,37.9,Indoor,5,Low,Healthy,N/A,Balanced Diet,No
237,12,6.0,Siamese,"Sneezing, Difficulty Breathing, None",Kidney Disease,72,189,21,38.3,Both,28,Moderate,Healthy,N/A,Balanced Diet,No
238,11,6.1,Ragdoll,"Loss of Appetite, Difficulty Breathing",Heart Condition,61,197,22,39.6,Both,99,Severe,Diabetes,"N/A, Dust",Low-sodium Diet,Yes
239,15,3.5,Scottish Fold,"Weight Loss, Loss of Appetite",Obesity,60,198,36,39.2,Both,83,Severe,Gastrointestinal Issue,"Age-related, Poor Diet",High-protein Diet,Yes
240,10,3.1,Maine Coon,"Difficulty Breathing, Sneezing, None",Arthritis,63,183,31,37.6,Indoor,77,High,Kidney Failure,"Allergies, Dehydration",Balanced Diet,Yes
241,15,2.8,Siamese,"Weight Loss, Loss of Appetite",Heart Condition,71,218,33,39.8,Both,48,Moderate,Respiratory Infection,"Age-related, Stress",Diabetic-friendly Diet,No
242,15,2.7,Bengal,None,Arthritis,70,184,38,39.1,Both,63,High,Diabetes,Dehydration,"Wet food, Hydration",Yes
243,11,6.9,Maine Coon,None,None,68,188,26,39.9,Outdoor,32,Moderate,Kidney Failure,Genetic,High-protein Diet,No
244,5,5.8,Scottish Fold,None,Kidney Disease,54,156,20,38.3,Both,29,Moderate,Gastrointestinal Issue,Stress,High-protein Diet,No
245,2,2.6,Maine Coon,"Loss of Appetite, Coughing, Difficulty Breathing",Heart Condition,49,194,27,38.1,Both,61,High,Diabetes,"Dehydration, Age-related",Balanced Diet,Yes
246,14,3.1,Ragdoll,Vomiting,Diabetes,49,207,24,37.9,Both,19,Low,Healthy,N/A,Low-sodium Diet,No
247,3,4.2,Sphynx,"Coughing, Weight Loss, None",Heart Condition,64,182,29,39.4,Indoor,51,High,Respiratory Infection,"Genetic, Age-related","Wet food, Hydration",Yes
248,12,5.0,Sphynx,"Sneezing, None",Heart Condition,66,201,32,38.9,Indoor,11,Low,Healthy,N/A,Diabetic-friendly Diet,No
249,13,2.7,Sphynx,"Vomiting, None, Weight Loss",None,49,163,30,38.9,Both,83,Severe,Respiratory Infection,"Allergies, Age-related",Balanced Diet,Yes
250,9,3.8,Maine Coon,"Lethargy, Coughing, Weight Loss",Arthritis,60,183,28,38.1,Indoor,58,High,Respiratory Infection,"Allergies, Poor Diet",Balanced Diet,Yes
251,11,5.4,Persian,None,Diabetes,51,175,38,39.8,Outdoor,12,Low,Healthy,N/A,"Wet food, Hydration",No
252,11,6.4,Persian,Sneezing,Arthritis,58,161,25,38.1,Outdoor,27,Moderate,Heart Disease,Dehydration,Diabetic-friendly Diet,No
253,11,6.5,Bengal,"Difficulty Breathing, Sneezing, Lethargy",Obesity,57,188,37,39.0,Outdoor,90,Severe,Diabetes,N/A,Low-sodium Diet,Yes
254,2,3.4,British Shorthair,"None, Loss of Appetite, Difficulty Breathing",None,54,203,39,39.2,Both,76,High,Gastrointestinal Issue,Dehydration,Balanced Diet,Yes
255,4,3.3,Bengal,None,Heart Condition,47,141,24,37.8,Indoor,76,High,Heart Disease,Poor Diet,Renal Support Diet,Yes
256,1,4.7,Persian,"Difficulty Breathing, Loss of Appetite, Vomiting",Heart Condition,62,161,21,39.3,Both,50,Moderate,Respiratory Infection,Allergies,High-protein Diet,No
257,8,5.2,Maine Coon,None,Heart Condition,74,185,22,37.6,Outdoor,22,Moderate,Diabetes,"Dust, Allergies",Balanced Diet,No
258,15,4.8,Maine Coon,"Difficulty Breathing, Weight Loss",Kidney Disease,62,185,32,38.9,Both,83,Severe,Gastrointestinal Issue,N/A,High-protein Diet,Yes
259,12,3.1,Persian,Difficulty Breathing,Obesity,56,143,23,38.8,Outdoor,79,High,Healthy,N/A,Diabetic-friendly Diet,Yes
260,14,5.7,Maine Coon,Difficulty Breathing,Heart Condition,50,169,39,39.5,Outdoor,66,High,Healthy,N/A,Diabetic-friendly Diet,Yes
261,2,3.9,Ragdoll,Sneezing,Diabetes,56,216,21,38.1,Outdoor,17,Low,Healthy,N/A,"Wet food, Hydration",No
262,6,2.5,Bengal,"Lethargy, Vomiting",Kidney Disease,45,149,32,39.4,Both,34,Moderate,Gastrointestinal Issue,"Poor Diet, N/A",Renal Support Diet,No
263,13,2.9,British Shorthair,Weight Loss,Obesity,52,205,27,38.6,Outdoor,10,Low,Healthy,N/A,Renal Support Diet,No
264,14,4.1,Bengal,"Coughing, Weight Loss",Diabetes,63,214,27,39.2,Indoor,37,Moderate,Healthy,N/A,Diabetic-friendly Diet,No
265,9,6.2,Maine Coon,None,Heart Condition,55,169,32,39.1,Both,57,High,Kidney Failure,Genetic,"Wet food, Hydration",Yes
266,10,2.9,Maine Coon,None,None,52,210,32,40.0,Indoor,58,High,Diabetes,Stress,Low-sodium Diet,Yes
267,4,6.4,Siamese,None,Kidney Disease,47,170,37,39.0,Indoor,58,High,Diabetes,Allergies,Low-sodium Diet,Yes
268,3,3.7,Bengal,None,Arthritis,74,154,27,38.0,Outdoor,39,Moderate,Gastrointestinal Issue,"Poor Diet, Stress",Renal Support Diet,No
269,14,5.9,Siamese,"Vomiting, Sneezing",Diabetes,66,178,22,37.8,Outdoor,66,High,Obesity,"Allergies, Age-related",Low-sodium Diet,Yes
270,8,4.9,Scottish Fold,"Lethargy, Weight Loss, Loss of Appetite",Arthritis,56,185,36,39.9,Both,0,Low,Healthy,N/A,High-protein Diet,No
271,5,5.8,Ragdoll,Difficulty Breathing,Arthritis,60,182,32,38.0,Both,63,High,Heart Disease,N/A,Balanced Diet,Yes
272,14,6.0,Ragdoll,"Weight Loss, None",Kidney Disease,69,189,25,37.6,Indoor,90,Severe,Gastrointestinal Issue,"N/A, Allergies",Renal Support Diet,Yes
273,15,6.8,Maine Coon,Lethargy,Arthritis,67,197,36,39.1,Outdoor,66,High,Kidney Failure,Genetic,Balanced Diet,Yes
274,10,5.0,Ragdoll,"Weight Loss, Lethargy",None,69,162,25,39.0,Both,22,Moderate,Diabetes,"Allergies, N/A",Diabetic-friendly Diet,No
275,5,5.7,Bengal,"Loss of Appetite, Vomiting",Heart Condition,71,171,33,39.4,Outdoor,40,Moderate,Obesity,Allergies,Diabetic-friendly Diet,No
276,10,2.8,Ragdoll,"Sneezing, Weight Loss",Kidney Disease,69,170,34,38.3,Outdoor,39,Moderate,Diabetes,"Stress, Dehydration",Balanced Diet,No
277,9,6.9,Sphynx,"Loss of Appetite, Difficulty Breathing",Obesity,66,207,23,39.3,Outdoor,46,Moderate,Gastrointestinal Issue,Dehydration,High-protein Diet,No
278,1,6.7,Scottish Fold,"Weight Loss, Coughing, Difficulty Breathing",Obesity,56,165,28,39.7,Indoor,96,Severe,Heart Disease,Dust,Renal Support Diet,Yes
279,10,4.7,Bengal,"Vomiting, Sneezing",Diabetes,58,201,26,37.7,Indoor,6,Low,Healthy,N/A,Low-sodium Diet,No
280,5,6.1,Ragdoll,Lethargy,Heart Condition,59,152,22,39.6,Outdoor,78,High,Healthy,N/A,Balanced Diet,Yes
281,13,3.6,Bengal,None,Obesity,55,205,40,39.2,Indoor,98,Severe,Obesity,Stress,Renal Support Diet,Yes
282,4,4.6,Siamese,Coughing,None,45,180,34,38.6,Both,3,Low,Healthy,N/A,Low-sodium Diet,No
283,3,7.0,Siamese,Sneezing,Kidney Disease,55,187,34,38.1,Outdoor,74,High,Kidney Failure,Dust,Low-sodium Diet,Yes
284,12,5.8,Ragdoll,"None, Difficulty Breathing",Obesity,57,211,29,37.7,Both,67,High,Healthy,N/A,Balanced Diet,Yes
285,5,6.8,Bengal,"Difficulty Breathing, Weight Loss",Kidney Disease,52,211,30,39.2,Indoor,33,Moderate,Diabetes,Stress,High-protein Diet,No
286,10,2.5,Maine Coon,None,Diabetes,61,180,29,39.9,Outdoor,38,Moderate,Heart Disease,Stress,"Wet food, Hydration",No
287,15,6.9,Maine Coon,"Loss of Appetite, None, Vomiting",Kidney Disease,53,211,20,39.1,Both,3,Low,Healthy,N/A,Diabetic-friendly Diet,No
288,14,3.1,Persian,"Weight Loss, Coughing, Loss of Appetite",Arthritis,62,179,21,37.6,Indoor,43,Moderate,Gastrointestinal Issue,Age-related,Diabetic-friendly Diet,No
289,3,4.9,Persian,"Difficulty Breathing, Sneezing",Diabetes,56,217,25,39.6,Both,43,Moderate,Healthy,N/A,Low-sodium Diet,No
290,7,3.1,Maine Coon,"Vomiting, Coughing",None,66,161,30,39.9,Outdoor,67,High,Heart Disease,N/A,Low-sodium Diet,Yes
291,11,3.6,Siamese,"None, Loss of Appetite",None,48,219,35,38.4,Both,2,Low,Healthy,N/A,"Wet food, Hydration",No
292,3,5.7,Siamese,"Vomiting, Coughing",Obesity,57,200,25,38.9,Outdoor,85,Severe,Respiratory Infection,"Dehydration, Allergies",Diabetic-friendly Diet,Yes
293,3,3.9,Sphynx,"None, Coughing, Vomiting",Heart Condition,74,188,24,37.6,Both,38,Moderate,Respiratory Infection,"Dust, Allergies","Wet food, Hydration",No
294,10,6.0,Bengal,Lethargy,None,62,198,36,37.7,Outdoor,52,High,Heart Disease,"Age-related, Dehydration","Wet food, Hydration",Yes
295,11,5.4,Siamese,"Loss of Appetite, Vomiting, Lethargy",Diabetes,70,160,33,38.6,Outdoor,56,High,Kidney Failure,Dehydration,Diabetic-friendly Diet,Yes
296,11,3.0,Persian,"Loss of Appetite, None",Obesity,52,147,36,39.5,Indoor,97,Severe,Diabetes,"Poor Diet, Genetic",Balanced Diet,Yes
297,13,6.5,Persian,"Sneezing, Weight Loss",Diabetes,57,147,40,37.8,Indoor,94,Severe,Respiratory Infection,Dust,"Wet food, Hydration",Yes
298,14,6.7,Sphynx,"None, Difficulty Breathing",Kidney Disease,53,146,31,37.7,Indoor,31,Moderate,Respiratory Infection,Dehydration,Diabetic-friendly Diet,No
299,9,6.4,Siamese,None,Kidney Disease,64,166,40,38.7,Both,20,Low,Healthy,N/A,Diabetic-friendly Diet,No
300,5,5.5,Siamese,None,Obesity,55,167,22,38.8,Indoor,40,Moderate,Gastrointestinal Issue,Age-related,"Wet food, Hydration",No
301,9,5.1,Scottish Fold,"Sneezing, Difficulty Breathing",None,53,144,29,38.3,Indoor,64,High,Healthy,N/A,Diabetic-friendly Diet,Yes
302,12,6.4,Sphynx,Lethargy,Arthritis,53,211,32,39.7,Outdoor,69,High,Kidney Failure,"Stress, Age-related",High-protein Diet,Yes
303,9,5.0,Sphynx,"Weight Loss, Difficulty Breathing, Coughing",Diabetes,74,197,30,38.5,Outdoor,86,Severe,Heart Disease,Genetic,Renal Support Diet,Yes
304,13,5.0,British Shorthair,"Vomiting, Coughing, None",Obesity,66,144,29,37.7,Indoor,90,Severe,Healthy,N/A,High-protein Diet,Yes
305,7,3.1,British Shorthair,Vomiting,Obesity,69,202,21,38.8,Both,32,Moderate,Heart Disease,"Poor Diet, Dust",Low-sodium Diet,No
306,6,3.1,Ragdoll,Weight Loss,Arthritis,53,198,32,38.2,Indoor,36,Moderate,Healthy,N/A,High-protein Diet,No
307,12,2.9,Maine Coon,Vomiting,Obesity,72,178,30,38.5,Outdoor,89,Severe,Diabetes,"Age-related, Dehydration","Wet food, Hydration",Yes
308,15,4.2,British Shorthair,Difficulty Breathing,None,45,165,29,39.6,Both,41,Moderate,Healthy,N/A,Renal Support Diet,No
309,13,6.5,Persian,Coughing,Heart Condition,57,144,29,38.1,Both,53,High,Gastrointestinal Issue,Age-related,Low-sodium Diet,Yes
310,8,4.6,Siamese,Vomiting,Obesity,57,174,30,37.5,Indoor,32,Moderate,Kidney Failure,Age-related,Renal Support Diet,No
311,3,6.4,British Shorthair,"Lethargy, Coughing, Vomiting",Arthritis,67,196,29,39.7,Outdoor,73,High,Obesity,Age-related,"Wet food, Hydration",Yes
312,12,4.2,Scottish Fold,"Weight Loss, Sneezing",Heart Condition,75,177,22,38.4,Both,63,High,Kidney Failure,"Age-related, N/A","Wet food, Hydration",Yes
313,12,6.3,Ragdoll,"Lethargy, Coughing",Kidney Disease,58,177,31,39.7,Outdoor,58,High,Gastrointestinal Issue,N/A,"Wet food, Hydration",Yes
314,14,6.2,British Shorthair,"Sneezing, Vomiting",Arthritis,75,207,24,40.0,Indoor,0,Low,Healthy,N/A,High-protein Diet,No
315,11,2.5,Siamese,None,Obesity,49,192,32,38.0,Both,75,High,Heart Disease,"Allergies, Dehydration",Renal Support Diet,Yes
316,1,6.2,Sphynx,"Coughing, Difficulty Breathing, Sneezing",Arthritis,69,191,40,39.7,Outdoor,68,High,Heart Disease,Poor Diet,Renal Support Diet,Yes
317,3,4.7,Maine Coon,"None, Weight Loss",Diabetes,54,211,39,39.2,Indoor,18,Low,Healthy,N/A,Low-sodium Diet,No
318,5,6.1,Scottish Fold,None,Heart Condition,74,215,39,39.2,Both,74,High,Healthy,N/A,Diabetic-friendly Diet,Yes
319,10,6.4,Sphynx,"Vomiting, Coughing",Obesity,61,211,35,37.6,Indoor,73,High,Healthy,N/A,"Wet food, Hydration",Yes
320,11,3.8,Sphynx,"None, Lethargy",Obesity,48,217,31,39.0,Outdoor,75,High,Respiratory Infection,"Stress, Poor Diet",Diabetic-friendly Diet,Yes
321,11,4.2,Sphynx,"Coughing, Difficulty Breathing",None,74,150,28,39.6,Indoor,71,High,Obesity,Age-related,Low-sodium Diet,Yes
322,12,5.5,Sphynx,Difficulty Breathing,None,59,167,23,38.4,Both,41,Moderate,Diabetes,Allergies,Low-sodium Diet,No
323,8,5.8,Persian,Sneezing,Diabetes,60,165,26,38.3,Both,13,Low,Healthy,N/A,High-protein Diet,No
324,9,4.3,Scottish Fold,None,Arthritis,46,196,23,38.0,Outdoor,14,Low,Healthy,N/A,Low-sodium Diet,No
325,3,2.6,Scottish Fold,None,None,61,190,38,39.2,Outdoor,47,Moderate,Gastrointestinal Issue,N/A,Renal Support Diet,No
326,7,3.4,British Shorthair,"Coughing, Loss of Appetite, Weight Loss",Heart Condition,68,147,20,39.9,Indoor,75,High,Heart Disease,Stress,Low-sodium Diet,Yes
327,5,3.9,Bengal,None,Arthritis,60,193,28,38.3,Outdoor,63,High,Diabetes,Poor Diet,Diabetic-friendly Diet,Yes
328,12,3.7,Scottish Fold,"Weight Loss, Vomiting, Sneezing",Obesity,46,151,39,38.9,Outdoor,57,High,Kidney Failure,N/A,Renal Support Diet,Yes
329,12,5.6,Sphynx,None,Diabetes,53,162,22,38.3,Indoor,66,High,Gastrointestinal Issue,"Allergies, Poor Diet",Renal Support Diet,Yes
330,7,4.2,British Shorthair,Sneezing,None,52,217,27,38.6,Outdoor,96,Severe,Kidney Failure,"Poor Diet, Dust","Wet food, Hydration",Yes
331,14,4.3,Maine Coon,None,Heart Condition,54,205,38,38.7,Indoor,58,High,Diabetes,Genetic,Balanced Diet,Yes
332,9,3.4,Siamese,"Lethargy, Sneezing, Loss of Appetite",Diabetes,64,180,35,38.0,Outdoor,78,High,Diabetes,Poor Diet,Low-sodium Diet,Yes
333,13,6.3,British Shorthair,"None, Vomiting",Kidney Disease,70,159,36,39.9,Indoor,30,Moderate,Kidney Failure,Poor Diet,"Wet food, Hydration",No
334,3,5.9,Bengal,Loss of Appetite,Diabetes,64,184,30,38.6,Outdoor,12,Low,Healthy,N/A,"Wet food, Hydration",No
335,12,6.8,Maine Coon,Loss of Appetite,Kidney Disease,75,160,38,39.9,Both,65,High,Diabetes,Poor Diet,Diabetic-friendly Diet,Yes
336,6,4.6,Siamese,None,Kidney Disease,72,168,40,37.8,Both,50,Moderate,Kidney Failure,Dehydration,High-protein Diet,No
337,14,6.8,Siamese,"Sneezing, Weight Loss",Kidney Disease,60,147,30,38.1,Both,41,Moderate,Gastrointestinal Issue,"Dehydration, Age-related",Diabetic-friendly Diet,No
338,15,5.8,Sphynx,"Loss of Appetite, Coughing, Lethargy",Arthritis,68,141,36,39.7,Both,60,High,Obesity,Genetic,Diabetic-friendly Diet,Yes
339,9,5.0,Ragdoll,None,None,74,218,32,38.9,Indoor,2,Low,Healthy,N/A,Renal Support Diet,No
340,10,5.8,British Shorthair,"None, Difficulty Breathing",Diabetes,72,209,29,38.9,Both,41,Moderate,Kidney Failure,Genetic,High-protein Diet,No
341,6,2.9,Ragdoll,Difficulty Breathing,Arthritis,62,175,23,39.7,Both,42,Moderate,Gastrointestinal Issue,"Genetic, Dust",Diabetic-friendly Diet,No
342,10,5.2,British Shorthair,Coughing,Kidney Disease,46,161,21,38.6,Indoor,14,Low,Healthy,N/A,Low-sodium Diet,No
343,9,3.0,British Shorthair,None,Arthritis,69,176,29,39.8,Both,25,Moderate,Obesity,Stress,Balanced Diet,No
344,4,3.1,Sphynx,None,Diabetes,70,210,28,37.6,Both,21,Moderate,Heart Disease,"Poor Diet, Allergies",Renal Support Diet,No
345,6,6.0,British Shorthair,"Weight Loss, Loss of Appetite",None,55,220,38,37.6,Both,59,High,Gastrointestinal Issue,Age-related,"Wet food, Hydration",Yes
346,9,4.6,Maine Coon,None,Kidney Disease,65,204,31,39.8,Indoor,55,High,Gastrointestinal Issue,Dehydration,Diabetic-friendly Diet,Yes
347,1,2.7,Ragdoll,"Weight Loss, Lethargy",Kidney Disease,46,206,30,39.1,Indoor,47,Moderate,Obesity,Allergies,Low-sodium Diet,No
348,9,2.6,Sphynx,"Weight Loss, Vomiting, Sneezing",Diabetes,67,168,21,38.6,Outdoor,50,Moderate,Diabetes,Poor Diet,"Wet food, Hydration",No
349,14,6.2,Ragdoll,Loss of Appetite,Heart Condition,51,199,30,38.4,Both,21,Moderate,Gastrointestinal Issue,Allergies,Diabetic-friendly Diet,No
350,10,5.0,Persian,"Coughing, Sneezing, Weight Loss",Heart Condition,71,218,35,39.1,Both,5,Low,Healthy,N/A,Low-sodium Diet,No
351,5,6.4,British Shorthair,None,Arthritis,69,188,27,37.6,Outdoor,76,High,Gastrointestinal Issue,Dust,Diabetic-friendly Diet,Yes
352,9,3.8,Siamese,"Vomiting, Coughing",Heart Condition,52,150,37,38.7,Indoor,69,High,Respiratory Infection,"Allergies, N/A",High-protein Diet,Yes
353,15,2.8,Bengal,"Difficulty Breathing, Coughing, Lethargy",None,47,198,23,39.8,Indoor,36,Moderate,Obesity,"Dehydration, Poor Diet",Balanced Diet,No
354,1,6.8,Siamese,Difficulty Breathing,Diabetes,54,208,29,39.6,Both,31,Moderate,Heart Disease,Poor Diet,High-protein Diet,No
355,7,3.0,Ragdoll,None,Diabetes,47,195,27,39.8,Outdoor,9,Low,Healthy,N/A,Balanced Diet,No
356,11,5.4,Ragdoll,"Weight Loss, None, Lethargy",Diabetes,71,143,40,38.1,Outdoor,3,Low,Healthy,N/A,Renal Support Diet,No
